疾病症状	社会关系	生活	学习工作	情感	非此即彼	以偏概全	心理过滤	否定正面思考	妄下结论	放大和缩小	情绪化推理	应该句式	乱贴标签	罪责归己/他	情感效应	行为效应	习惯性驳斥	有效驳斥	触发性事件	认知歪曲	情绪反应	驳斥	sentence
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	我在想自杀。我想死。
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	我是一个失败者，一个讨厌鬼，一个无趣的人
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	我自残，我什么都做不好。我又懒又没用
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	我死了对大家都好
0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	我没有技能，也没有关心我的朋友。
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	我是个可怕的人
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	我知道如果有人读到这篇文章，他们会说我是在寻求关注，我是在夸张。
0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	这就是为什么我从不说任何关于我的感受，我把一切都藏在心里，因为没有人想听我的个人问题，没有人会关心
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	我在学校也做不好，我很笨。我的存在毫无意义
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	没有我大家会过得更好
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	我很抱歉分享我的问题/感受，没人会在意的
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	我动这个念头也是不久前，导火索是妈妈病重估计有不了多长时间了
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	导火索是妈妈病重估计有不了多长时间了。
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	起因是我家有家族性胃癌我不知道自己什么时候就会得病，不知道是过几年还是二十年还是四十年。
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	但我现在觉得那太晚了，我可能撑不到生病就想结束自己的生命。
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	因为这个世界没意思，从小就和别的孩子攀比读书考学工作，然后结婚成家生完孩子之后，为他付出自己的后半辈子。
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	以前很喜欢小孩子但现在不想要了，因为生个孩子特别损元气。如果不是妈妈生了弟弟她身体也不会透支
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	但要是没有了她这一切都没意义了
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	上一次去医院我跟医生说完他又说了一些什么“想开心，开心点，没什么大不了”，
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	我只想说开心点？我已经没有这种技能了
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	你让我怎么做到，是啊，开心点，多好的方法我以前怎么能没想到过？
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	我看着窗外留下了泪，那是个绝望的泪水，每次去医院过程又痛苦又会有一点期待，哪怕一点，我这次会不会变好一点，可又是一次落空。
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	我想结束自己的生命，但我做不到，因为我害怕，也担心我的弟弟妹妹们
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	没有人相信我
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	令人沮丧的，这让我真的很伤心和生气
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	我现在应该很坚强了，但我没有
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	我不想让他们发现我的无助，因为我知道他们也想消失。
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	我的生活中不会有任何愉快的事情
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	如果不是因为我不想伤害我妈妈和朋友，我可能早就这么做了。
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	对我来说没有幸福，不管是现在还是将来
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	我不知道是我命中注定没有幸福，还是我没有能力获得幸福
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	中间割过三次腕
0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	复习压力多大一边是对未来的渺茫不确定一边是对他有新欢的心碎
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	边哭边写卷子
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	一次次崩溃
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	我没有信仰不相信爱情朋友
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	我想开心的活着像没遇见他之前那样还是那么阳光干净开心的活着
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	经常感到压力，有自杀倾向，焦虑不安
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	第一次惊恐发作。
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	这太可怕了，我从来没有真正从中恢复过来，我一直在走下坡路
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	甚至像电影和主题公园这样的东西也会让我因为焦虑而想哭和想吐
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	现在做什么事都太难了。
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	我的记忆力和注意力都被完全破坏了，
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	我恨死它了。
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	我的父母在情感上完全不可用，毫无用处。
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	每次我提起这件事，都会被忽视。
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	我一个朋友都没有。
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	每一天都让我感到疲惫和恐惧。
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	我的脑子就是这么坏。
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	我真的只想死，把这事了结，我只想休息。我只想让一切都停止
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	这是我一生中最糟糕的一年，希望也是最后一年。
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	再过一周半我就死了。
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	我付不起大学学费
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	他们也不会让我在多次挂科后回去。
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	所以我也是个罪犯。
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	如果我学不到医学，我还不如死了
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	对我这世界上最好的朋友假装他应该比我这样的失败者更好。
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	那我也同意了，为什么还要逼我呢，我都同意去打工了，还在不停的骂我。
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	我觉得我出生就是个错误吧。
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	我已经到了临界点了，我想死，他们告诉我不要死在他们面前。
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	她怕自己犯法，要把我送去我爸那边，我可能会死的更快吧。
